65,0.034494410104611344,Total Solids,['BOD5'| 'Org-N'| 'TKN'| 'Total Solids']
66,0.033441180472864825,Total Solids,['BOD5'| 'Org-N'| 'PRCP_NOOA'| 'Total Solids']
67,0.03489917472881429,Total Solids,['BOD5'| 'P-TOT'| 'SO4'| 'Total Solids']
68,0.03493276895845637,Total Solids,['BOD5'| 'P-TOT'| 'TKN'| 'Total Solids']
69,0.033403791706351674,Total Solids,['BOD5'| 'P-TOT'| 'PRCP_NOOA'| 'Total Solids']
70,0.035005187287050134,Total Solids,['BOD5'| 'SO4'| 'TKN'| 'Total Solids']
71,0.03436776973745402,Total Solids,['BOD5'| 'SO4'| 'PRCP_NOOA'| 'Total Solids']
72,0.03357090362731148,Total Solids,['BOD5'| 'TKN'| 'PRCP_NOOA'| 'Total Solids']
73,0.034597649293787336,Total Solids,['NH3'| 'Org-N'| 'P-TOT'| 'Total Solids']
74,0.03506072698270574,Total Solids,['NH3'| 'Org-N'| 'SO4'| 'Total Solids']
75,0.03504622946767246,Total Solids,['NH3'| 'Org-N'| 'TKN'| 'Total Solids']
76,0.0338740208569695,Total Solids,['NH3'| 'Org-N'| 'PRCP_NOOA'| 'Total Solids']
77,0.03467119967236238,Total Solids,['NH3'| 'P-TOT'| 'SO4'| 'Total Solids']
78,0.03451237455010414,Total Solids,['NH3'| 'P-TOT'| 'TKN'| 'Total Solids']
79,0.03339443859808585,Total Solids,['NH3'| 'P-TOT'| 'PRCP_NOOA'| 'Total Solids']
80,0.035277338150669545,Total Solids,['NH3'| 'SO4'| 'TKN'| 'Total Solids']
81,0.034248254974098766,Total Solids,['NH3'| 'SO4'| 'PRCP_NOOA'| 'Total Solids']
82,0.034099931226057166,Total Solids,['NH3'| 'TKN'| 'PRCP_NOOA'| 'Total Solids']
83,0.0349131377742571,Total Solids,['Org-N'| 'P-TOT'| 'SO4'| 'Total Solids']
84,0.034393857726279425,Total Solids,['Org-N'| 'P-TOT'| 'TKN'| 'Total Solids']
85,0.03318305554635385,Total Solids,['Org-N'| 'P-TOT'| 'PRCP_NOOA'| 'Total Solids']
86,0.03496649773681865,Total Solids,['Org-N'| 'SO4'| 'TKN'| 'Total Solids']
87,0.033856341724886614,Total Solids,['Org-N'| 'SO4'| 'PRCP_NOOA'| 'Total Solids']
88,0.033412818523014295,Total Solids,['Org-N'| 'TKN'| 'PRCP_NOOA'| 'Total Solids']
89,0.03488438686027246,Total Solids,['P-TOT'| 'SO4'| 'TKN'| 'Total Solids']
90,0.033861969542853976,Total Solids,['P-TOT'| 'SO4'| 'PRCP_NOOA'| 'Total Solids']
91,0.03333432227373123,Total Solids,['P-TOT'| 'TKN'| 'PRCP_NOOA'| 'Total Solids']
92,0.03380228206515312,Total Solids,['SO4'| 'TKN'| 'PRCP_NOOA'| 'Total Solids']
93,0.03405634511043044,Total Solids,['SS'| 'BOD5'| 'NH3'| 'Org-N'| 'Total Solids']
94,0.03391820937395096,Total Solids,['SS'| 'BOD5'| 'NH3'| 'P-TOT'| 'Total Solids']
95,0.03450007758596364,Total Solids,['SS'| 'BOD5'| 'NH3'| 'SO4'| 'Total Solids']
96,0.03401250348371618,Total Solids,['SS'| 'BOD5'| 'NH3'| 'TKN'| 'Total Solids']
97,0.03330470555845429,Total Solids,['SS'| 'BOD5'| 'NH3'| 'PRCP_NOOA'| 'Total Solids']
98,0.03340724001035971,Total Solids,['SS'| 'BOD5'| 'Org-N'| 'P-TOT'| 'Total Solids']
99,0.03405756459516637,Total Solids,['SS'| 'BOD5'| 'Org-N'| 'SO4'| 'Total Solids']
100,0.033881661427371645,Total Solids,['SS'| 'BOD5'| 'Org-N'| 'TKN'| 'Total Solids']
101,0.032941815388553286,Total Solids,['SS'| 'BOD5'| 'Org-N'| 'PRCP_NOOA'| 'Total Solids']
102,0.033993505160598195,Total Solids,['SS'| 'BOD5'| 'P-TOT'| 'SO4'| 'Total Solids']
103,0.03378190297414275,Total Solids,['SS'| 'BOD5'| 'P-TOT'| 'TKN'| 'Total Solids']
104,0.03278839960694313,Total Solids,['SS'| 'BOD5'| 'P-TOT'| 'PRCP_NOOA'| 'Total Solids']
105,0.033973791800877624,Total Solids,['SS'| 'BOD5'| 'SO4'| 'TKN'| 'Total Solids']
106,0.03347252484630136,Total Solids,['SS'| 'BOD5'| 'SO4'| 'PRCP_NOOA'| 'Total Solids']
107,0.03293674220057095,Total Solids,['SS'| 'BOD5'| 'TKN'| 'PRCP_NOOA'| 'Total Solids']
108,0.0335529543021146,Total Solids,['SS'| 'NH3'| 'Org-N'| 'P-TOT'| 'Total Solids']
109,0.03418931452667012,Total Solids,['SS'| 'NH3'| 'Org-N'| 'SO4'| 'Total Solids']
110,0.033952401183983856,Total Solids,['SS'| 'NH3'| 'Org-N'| 'TKN'| 'Total Solids']
111,0.03324313352213187,Total Solids,['SS'| 'NH3'| 'Org-N'| 'PRCP_NOOA'| 'Total Solids']
112,0.03401304255513584,Total Solids,['SS'| 'NH3'| 'P-TOT'| 'SO4'| 'Total Solids']
113,0.03362190942553913,Total Solids,['SS'| 'NH3'| 'P-TOT'| 'TKN'| 'Total Solids']
114,0.03289541952750262,Total Solids,['SS'| 'NH3'| 'P-TOT'| 'PRCP_NOOA'| 'Total Solids']
115,0.0343477772000958,Total Solids,['SS'| 'NH3'| 'SO4'| 'TKN'| 'Total Solids']
116,0.03330315780990264,Total Solids,['SS'| 'NH3'| 'SO4'| 'PRCP_NOOA'| 'Total Solids']
117,0.03307854669059024,Total Solids,['SS'| 'NH3'| 'TKN'| 'PRCP_NOOA'| 'Total Solids']
